alias,comp,cond_sterling,cond_rivera,legi_sterling,legi_rivera,cond_rivera_original,legi_rivera_original
0760,slate,poor,good,good,poor,1_sound_in_situ_or_leaning,4_traces
0761,slate,good,good,good,good,2_sound_displaced,2_all_legible
0762,slate,fair,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0763,marble,fair,good,fair,poor,1_sound_in_situ_or_leaning,4_traces
0764,marble,good,good,fair,unknown,3_falling_apart_incomplete_recognizable,6_face_down
0765,marble,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0766,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0767,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0768,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0769,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0770,marble,poor,good,fair,poor,2_sound_displaced,5_illegible_destroyed
0771,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0772,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0773,slate,good,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0774,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0775,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0776,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0777,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0778,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0779,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0780,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0781,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0782,slate,good,good,good,good,2_sound_displaced,2_all_legible
0783,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0784,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0785,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0786,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0787,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0788,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0789,marble,fair,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0790,marble,,good,,poor,1_sound_in_situ_or_leaning,4_traces
0791,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0792,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0793,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0794,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0795,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0796,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0797,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0798,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0799,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0800,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
