hash256,section,composition,condition,legibility,estimated_installation_year
2ebe589d35023aa915839c02a0660c9a9ec4a18b227fdcf111d28cd16953355d,AB,granite,good,good,1860
2ed1ae92b3d1c91df7b30d21e8cb2e5d878389c1cb3ab0c45534ca92b0362366,AB,granite,good,good,1845
2eeb4b9bff6ab35ef8bb7e1a087daf23e3b6d3050d502762462510184f46ad35,AB,marble,good,good,1822
2f04b5f8f21778c584a62b1198883d22c7ce5b3b07045546eddf6b80d84655ab,AB,granite,good,good,1925
2f528214089c8995980a2be05e1a270924b8d33fd027514af974a1f09fec0a33,AB,marble,fair,fair,1867
2f980ed06e4544e3fd7e757d5b02ee7b29e345fb139d46f06fcbf739f930efe8,AB,granite,good,good,1923
314929f830e3eb8d25fa534c302db6252342ff602c171aea3adf4f7d064949f4,AB,granite,good,good,1758
316ab0c7ad23b3daf1e58f2d89212ce3542c758f4121362ff476afda1ea9eb84,AB,marble,poor,fair,1876
317ddc08f4dd11f12e451d57b5df7872be40f4ff689312d994ad1316d87f4a95,AB,marble,fair,poor,1822
31df60d779404e19d51fbe6409cd91c9e66983468b5abce2698fc0f4ecd84746,AB,granite,good,good,1931
3241859c6d61b7e4474c8a29af68fb235eff45a8e19036b9f73770f894845565,AB,granite,good,good,1867
32c377796f00c6ff44ba93cc243862bcea3bc83addedcf902ef2b572f5ec52eb,AB,slate,good,good,1754
32d23a343fe33ab84888a244fde6edf23989a803b2bedbd9babfffb4e375758b,AB,,,,1730
3366a5632cdcf565e9527034ae117f885d9f3afd6861b130b1925c88de2a9c28,AB,marble,fair,fair,1860
33bbe71ae8149a987201919d75ad18b8de3d7580d5700b7ad958d570de07a555,AB,granite,good,good,1834
33d57499d26fc2f028e8986924b18b031fa24a0629aff0d7f42ac6a50e81e5d7,AB,slate,good,good,1812
34515805210c3159cb612468efbfa0f26da9391122bb79cff0aef138bf7a02c3,AB,marble,poor,fair,1846
348c97f16361db6c3307ed21318fd1b0c75d04d8e29a7402c5a52bca51c0529f,AB,marble,fair,poor,1827
35f99dcd9dedd1bd6fe3fad9d9e3531d57c688ddf571846939b669327ae0d7c6,AB,marble,fair,poor,1844
36385774dcd9aee6121aa8eae5adbd3f5ed775f7ae5b340c4cc14e3c2f5006ab,AB,granite,good,good,1769
369acc69bccca85b64aa9e1ef4eb1780b808d39c5aa1748d33a02666ed55f1ec,AB,marble,NA,NA,1836
374f9ef3838230107d78ec41bdf882857a52faec25293002100f9a0dc2ec95dd,AB,slate,good,good,1754
37c1e149f0c9af143c9992fdac045f6070eb5b7641cbcf9b28f29d74056ce763,AB,slate,poor,good,1758
37ef79a38e28f72e739404e1b15e55a1760e7af456fe80af63c3bf6edb387cc7,AB,granite,good,good,1976
383b4a35b288263245dbf19a6c4a4b55b60e6403cf8840b1aa09832427cb8e2e,AB,slate,fair,good,1808
3885da16ff09485ddbd0b715212a6848e879808c5e958a285c732fb225a23ef5,AB,marble,fair,fair,1865
39072db1a25618d226f0e7c1f77037a096870db7d8b6271f278125396be1b031,AB,granite,good,good,1910
396da8c5334fe168a98c9a16700602db364af1d44fdef9ceb997b26fc0c84279,AB,granite,good,good,1904
399a0daa6183707b8b19b5fba81321b179ba37f737c7ecd403f99e8a44e00740,AB,marble,poor,poor,1850
3acb6ad250fb967cf4d078c103c555b2748c6b5e70641049a20dcef19549ee58,AB,,,,1767
3ad56736e0e243278233f5888ff2c1715f6314d3f74ebd77cc97edb8b5602230,AB,slate,good,good,1754
3ad76a12ff08e847b12b0a4c8fa5f924bd4cf5f2f2983c17a9dd4c01d3f72221,AB,marble,good,good,1924
3ae561dc8f8890a07620249bf0ef3acac5b3f01dd4888e76c30c27bc1c1e54bf,AB,slate,good,good,1818
3aff06e458f17bc31ebea91ecee1243ee05976b5d51df602f3035e4a2edb3a9d,AB,slate,good,good,1823
3b3fab9fb638d621ed8e6ec2048095a073c2316dfea6311236c43a92c501788e,AB,slate,good,good,1783
3b8c8a3113b376f5cd3174ffa96ec6b32cf32c66ae388fcaaca6106a87e52b47,AB,granite,good,good,1784
3bf8db55cd6ebb4045d779e43467227d0c206aea868ec392cdc44e96fb2afa8e,AB,,,,1818
3c193d258044ebfa93757f4656e9a9b32fa084fc190e17cd09d524467ac2d548,AB,slate,good,good,1750
3c300df6819f2280d6aa683678fc755af82faf4fbdd53455456fd638f0edc2f3,AB,granite,good,good,1892
3c49e4c1fee1b3a2801150803ba401e4f697be5fee84d8e1ae696414e5ae6436,AB,granite,good,good,1937
3c9744b387aedb22317269c13330b5c1bde722a2649c3767dc16a5a477a52742,AB,,,,1809
3d33db29469dff1c9c427b2315af5a5e6f08577512d0aac6e8d372fb4079a286,AB,slate,good,good,1758
3d394c1028b4e40e37d679e039faa6472428c7403f23dad331cbc1e5ea1c20b7,AB,slate,good,good,1749
3dffa01d7ba4f46bd6ecf9eafd29b16c17f93f1f1f95db1a98b5c7f3b0eca88d,AB,slate,good,good,1806
3e3b54440325007abc7ca96c2cfc8383bf719092c26834eae28acb59139eb8a0,AB,marble,fair,fair,1808
3f650be47af8f20dcc77a2315fd8eabc79a71b0e870bf6c84fe02578e44978b8,AB,granite,good,good,1926
3fe608bbcd722815d7600434eb8fc70571abfbfa7c46c77fcc7b8f50354423ea,AB,slate,good,good,1767
4045dd199d2aba4b0c2fd4d453116f1acfe3a9d62ac4a83987d9966399098514,AB,,,,1844
40e1b073e4a2f675b765673e9bca710f45bc64f82242cf506f27777d0bb0eec6,AB,marble,poor,poor,1830
415f189d238bd654d98df455d5775e4ea775669656b781e0a12ebdd8d7e63c39,AB,,,,1781
415f7c6109077943a0cb437564dc0d0010a3f4fe3a820dec9c3fa8eb5cb88076,AB,marble,good,fair,
41784fe4abd840f120b2500960dceaf87f1b42e1621f8e421bdd57082992e9d7,AB,granite,good,good,1924
41920fb9c408f50bfd5345a368fad0fd2d028b227c1aca770af0a61747510125,AB,slate,good,good,1806
425c0d38c987355675167b1225082bdb7abf7b8f941fa5281ebfacc41fb19b69,AB,marble,good,good,1860
42ecdc2b85119a48bb0e5cf029588d12014dde9cc32654fbf4a9a8ceb9bc4d58,AB,slate,good,good,1774
43bcccb1c67a838fbbe3ffcd116ebdc0bd0164756cbdfb08330880c2e387a695,AB,marble,good,good,1897
43c79d7e67b48dcee66c18725852773ab662d0cf3232a7ad123a3730c2409e05,AB,granite,good,good,1929
43d03e1f6a38745214614a6bdd4a9f288957a74504842c8efb1a8218a9fb9749,AB,granite,good,good,1894
4431d035b8d57f08c88cd3566339b4fb6fb49dbb4b178b52021afeb9b60355d0,AB,slate,good,good,1820
445687bbbd8eafd677021be6bcdcf825028e9557403dc67f5e99a715073a1fd2,AB,granite,good,good,1913
44a17158b36c8326d34e19472168fa06c6b0f49331a0b6c8660ef455640de1f5,AB,slate,good,good,1790
44ed36d67f2882b4991e0c3059bf524bc80a496e25abe53e52dc36632a6596e7,AB,slate,good,good,1740
44fd06913b000d6f1e66fe0772c196ce873a86c5cba2ebd259ebab861e96d8a2,AB,granite,good,good,1938
45a101b06462fa2f19887e7d556b9e30c086cd60256e9a7846d186bd1f7baf58,AB,slate,good,good,1744
46a33a0066c1e6bbb565e9e1eacf1fd829b8ad9756d2742c6f7e49d6d99da1ae,AB,granite,good,good,1831
476d9798f760f081ec69d87ee262ac8c1c9109238bf4d333d9894c2edd52f992,AB,granite,good,good,1894
47e714f3218aff66b417c8326ef9a221e1c5496e95324dbd179f4b3f31ef7b0a,AB,slate,good,good,1770
485a651a3c977d2b8849fd7ea6bab4384f60893a04b3fd532eba7d8d29513d07,AB,slate,good,good,1776
489b4a507536201595e7e7f7802b455c38672ad56636f2caa72359e0527dcf73,AB,slate,good,good,1753
48bb502bf5481b6c37b6a56f1c6e64fc205af66d263bb89520fe424778861993,AB,granite,good,good,1947
48d9d74428a4268587a7faf7357cc6a470506faf44c121d58db091784894c1d2,AB,granite,good,good,1859
48fe2bb91cbaf5b52524ed6f75b7484b98a8c534229e693a4701c3b5ac3e42a3,AB,granite,good,good,1897
49c807882a010d8b531b3777d3f687b4cc58d32b6f8fed059d973aee8f0d7225,AB,slate,good,good,1834
49d02ef7568a568ce15bc6cddb5ea311ae8b702d50a64ede5181b3604ecaed4f,AB,granite,good,good,1839
4a07e7fef033af5b4f54385a5cd424aa0ae3be4ba712035415a43e12b25bdd0c,AB,marble,poor,poor,1795
4a802c3572b213a89a45da008eb89fc09653e66b66e6dc9b8ae37db0ac54e11b,AB,slate,good,good,1716
4abc3c973b3e508298bfa8dc40439a6453456c95d87ae21b0f1f93b30f38d887,AB,slate,good,good,1804
4ae50b89c901889655b303fe86902bd4bd899fee555c01d68ad8ee6c445303e1,AB,slate,good,good,1785
4bd1555fb5f2cb4d5565b3ae65b0c67c4525ba5433d40a4f4f3b0860f6829e40,AB,marble,fair,poor,1821
4c2f87c18467a9f55cac0b44c34a6de0ff8300e1bd4c9a7268f2894d9e83a036,AB,granite,good,good,
4c3acc2189bdcc1e014bd65cb8bdf4342f8f28ff1f466ba96a21c1f22f4b0bfd,AB,granite,good,good,1923
4ce9b68026ff22ed4c78507526af91c5d0f581a9b50bf278deea5ad793036309,AB,slate,good,good,1736
4d7dac94a9aa579cb7b4e31795ed05cad4fe6d1630a6d479b270994e71b6d6fe,AB,slate,good,good,1808
4d99ca20cc3fc6b73e6ea8bdf4f68cd3d59a8edb3d7dafc300eca9ba3cae8bc5,AB,granite,good,good,1872
4e393ab47ac1665778410cc8dbbe056d36d1dc1cf81b3fa2ce712f2c40b407a9,AB,,,,1853
4e5bfb932e1de1d9197c7babd826bb5dbe289e69817ae1cfa8fc63cd7b2b37a3,AB,sandstone,poor,poor,1803
4ead18c9f9eeeef9f9736ff8e49326cee2f60fabffbb5226f7db21206208de44,AB,slate,good,good,1805
4ec0f074ba174a8b1bd69461822888a4af737a976685d66c0a71eba0b568a61f,AB,granite,good,good,1929
4f112a6b938f15dc9906c9215695d3d09e267dc8cfb90f5c19468cc85d650820,AB,slate,good,good,1803
4f4d39e12ea5f43d5987e9b98795cc1b62bc6c15b38b719c3ef1d06f71a741ba,AB,marble,poor,fair,1828
4fbcfd792d7be78057947cd48a27f6641648c7ee35d56aac13c51e0aa1cb9703,AB,marble,fair,fair,1842
51e5650ce658a463c1a763a6d01a7a370d40b0b9664de3d812814722025dd268,AB,slate,good,good,1782
5287c9e2c5762d9e1ba9838819cff4107797365d819b2559a86904d2dee32efc,AB,granite,good,good,1965
5300d035968c839a52fed049437960e718a151d5024be737c5777db7aeec7187,AB,slate,good,good,1755
53837ac50050952f44f01fb686fddc460227a5249cdff1850aa1503199b08a19,AB,slate,good,good,1750
53977ccca71516bed8a1772989404c3be6e7b784adef9590bd0c7bdc57fdca69,AB,granite,good,good,1904
53ef7aab5968100336d9d489194bfff4a1dd8374a18f1bb78d90581166e208ba,AB,granite,good,good,1888
541a6c746ba11067f8813742df7d132e12cbbca9127aecb895d768249efbde4d,AB,granite,good,good,1844
55260d826c60efd78e3c4ab585e73fa641c9aca34a1b56432b207e64fd2cad30,AB,slate,poor,good,1808
5575fae3564b2a3081f777c4d129973875d7ef7fd8fbf99d9112da59bbb4cfa9,AB,slate,good,good,1751
557bb87c3c1c73e9dc1c4670b76b10f8ec86c86ee87287e1669cb5351831395a,AB,granite,good,good,1904
55824b553cdadb76e04db9c496255debe2bfef0092cbdbb77ff6b3b38876d4a1,AB,marble,fair,poor,1864
55bd3c4f564ba484303f8485929f2a83c5808244e6da58f666617df08d4cb200,AB,marble,fair,good,1953
55def5fe848ec468980c638b541ab138d2379d4681e3ad73fbf240db7b195ee6,AB,slate,good,good,1768
55f606eca568a70cd7506740f8ea4199b763852ac517cfee3766a4b38e9fd063,AB,marble,fair,good,1842
565eacfd4cda0f93e3d414c3b34fbf03d3ae67e3b9b736602004dbdd2c6b972e,AB,marble,good,good,1839
569ca93d0c44642f47623b25b05559e97218baf5dc53274a6510b031e4c4c5cb,AB,marble,good,good,1852
56b759d821f05851fbf1e9c1f817c387a61a9cf1e12f28cf9ef613607b4bcf81,AB,marble,good,fair,1853
5703487330e69912ff4901f071dd03785b611901c76bbe2f1b1a6ace31ef79c2,AB,slate,good,good,1758
5705593c44ea5f33062e6ed6b73ae5d9d1f7e9dd95b95fb83e07a6b4db9099c2,AB,,,,1776
574edcf868096377d216f6602019903c6da2a456981812804628a1997c9a3344,AB,granite,good,good,1846
581870d03d12942a10f2a9b05715ec937570625ed307c42856d38b88229eb568,AB,marble,fair,poor,1915
58ae88a7ffb043c9b2d84aa38eb4572d96553299139ceaf5d8192f01bdca7417,AB,marble,poor,poor,1797
58e3ff6d7a5375f7c2497cd1e08b74cfb59314ac0619d3081352cce91a016d93,AB,slate,good,good,1773
58ed48a991e85633e12138f86c151ef9efc139273956857b0e4b50ca5b77a4e9,AB,slate,good,good,1751
5922e4166eee7b84480af87edcac0c66059d1808b39f5d0d481e7328f6eb2623,AB,,,,1816
595da6606775402e5ab0828b96858e1d2eb636f66260e8f940bf0eb02b23b867,AB,slate,good,good,1817
59ab14359bee2025c14189eb1c711a9633b3c13e02b852bef1945c46f77a20ba,AB,slate,good,good,1834
59d0bd16e8a17c7162c94a492144c00a62e875f47594af1a40de5ecd2d8d8d5a,AB,granite,good,good,1873
5a2438ba7fa1bf51021aa65417a922889be7458560a5043f73aff2eb74789192,AB,marble,good,fair,1838
5a9861f4d3685294a46dbc3f0180862502dcd14bf4e58c15d469b1d0fc67609a,AB,,,,1829
5ad438d0ad66cf0efc6296fecf0f72c8d437e467aa1982acc39642d49f8aa694,AB,,,,1785
5b0c547d7705c0cc73bb0b0cfd4e88274cb831228aae015b4da72f8c1e659a0e,AB,marble,fair,good,1845
5c08d21f1818030f194c284d7bf2e7d3ab424b41e7966f87177187d7495f8c53,AB,granite,good,good,1911
5d1d24c1d4109f4217bbf32b89411edfaf8c035dc6d6a5fe30b9fdb45af961b2,AB,slate,good,good,1774
5d4c92c84e4d7676b05347a02f75d18461b7e55f68deb9c9021971a3788974e5,AB,granite,good,good,1785
5d58f767b22b2fe741a63b9f441e9778bcf777cf5ead79c06d4d95317580aac7,AB,,,,1834
5d92b03574f7381e0be4a3f2dd188af2b13605e0d2a37e13522b7cd519a74c6d,AB,slate,fair,good,1753
5dc1bea33cfbc679567aaa063b5f1ae3054c25cd36dcdc5df6408992501b2c52,AB,slate,good,good,1742
5df9a8014e95b536df81441bf01bbe1bc4e6f39519177f0e0479120fb206cc4c,AB,marble,poor,poor,1822
5e733c771f2690843230621652454c4f31aec49150f210dba4e2654e70f7addb,AB,granite,good,good,1941
5ec9f79e90099b7671f2b135ef0781a97c7ab5be2691e50be6f6e4f477852eee,AB,granite,good,good,1922
5f9b07b5a1941660cc7cee4dda8d057ad8bcb979eaf4f79799f7e9e1457aac6c,AB,slate,good,good,1828
5fb1ddc826d75b8aef60932d7caf0ea875a137c367af92f0c8c0fb8e74d0e0eb,AB,marble,fair,good,1866
5fbf603490f77bc495e5a58609e32724cf8f52efdd5195e5b55094a170658942,AB,granite,good,good,1897
5fc6e421b88acfc71fbdd4453634265ec1cc67f9e3838dda0b3181d757dd469e,AB,slate,good,good,
5ffe05e9f0c85fb9671f135d60877484e1d3ce3b5dfd15c0666289eba6e1be5e,AB,granite,good,good,1909
600e7af424ac24ad1d81731dc79bc1359fd2755c7c2c97a7fccc6ca3d99f1fda,AB,slate,good,good,1776
604ad163ac51096f746a418960563fbdabca35fb5eb75da44108a1bf959df165,AB,marble,fair,poor,1821
6069f0c5b1b0bbb9e3937d014a922f52fe3516026329482518ca4eeb41fdb59a,AB,marble,poor,poor,1829
60efa702fa555817c18ef5085800e29b2e7a7648b6ad4cf86c9b12698d239d70,AB,slate,good,good,1777
6100088eaa7f37ccbdbe9dd3099bbedd6ab4d39a97a052133e2238baa738bd20,AB,granite,good,good,1907
6144544d086b85697f8594eaf0208108fb4d63712b9c13cceb71482b72210eb5,AB,granite,good,good,1937
619daa2885962f58a6eb22e3eecafd754069de157867e6f37112101c7d3fa1a3,AB,granite,good,good,1889
6217263ef341f9eb43d3c3daec47f93521baa6529fa46c8d4d72e38814dbecb2,AB,granite,good,good,1909
626304ac83c69a254422129b42df5cb25d100a12e5de5517d1a63dc6ee3ff4e2,AB,granite,good,good,1786
626ae135ea2f0e8a7cb387c30ad1af1eb7932c4f1a4ba833fcc75ac421d348b9,AB,marble,fair,poor,1795
637b3971f8a999afee344ad277fd511ba8c22e225cd0729a29c8dffeda98b308,AB,marble,fair,poor,1826
63f8304d6d69a7c86cbea540fe6ee47e3d48c9e8ff682bd8667b33ddc2a1bb2d,AB,slate,good,good,1819
6421e0032ba52bc6d8f758b082949bb479cf566e95e7bf0c9950db7d0bb56a07,AB,slate,good,good,1821
64614672bc6a5b5208cd8bad54c7c8c9d16c355508749754aab379b518436d12,AB,granite,good,good,1888
64747331930d0e2d5b0d910fd6b793e95e3b1a7f92e2778a428f868d64375c7c,AB,marble,fair,poor,1843
6592b2b286f75cc8d610d4aec709477fb96fea6dc77b3525213102317931effc,AB,slate,good,good,1779
65934546ff65c398f9b3a5ac743b9924720d30a1f8e99e6494b6ff4a13566097,AB,slate,fair,fair,1718
65e55f98062d4c053d17b78f6c2f6c84d6bd239630727db26ce53a9cb87f5ec1,AB,marble,fair,poor,1796
66116b928c80027aa6e4167d8421169839fdf99f6d810983ebdda8574ec930a4,AB,,,,1848
66170f270890695edade952a581985d1bf184384aa70f3a41305584296dd54f1,AB,granite,good,good,1905
66542a04e653130315698703a7fc67d2afa539e88f1776c1d5a404f86240925a,AB,marble,good,good,1876
672009acc8353acf75b6ddbcf16892ddba6afa136d34ed66676ea45f27611c6c,AB,marble,good,good,1900
67581bcd633bdb2f1394300c5f6098134f18cbc26f3959f16a2ad65278cb7f71,AB,granite,good,good,1851
67bb6bc765778640ee01f61fecc38ff04868afd95a5f7195c203fdd52d643352,AB,slate,good,good,1770
68154c8bad47eb42bf322ea9e4be92d7d7ce7d525c377c3e4107297d533256d7,AB,marble,poor,poor,1864
68629aeb2ef98f4a35ac8eb2976edf437fc4c6a2bbacd5adf158a7c808a3e12c,AB,marble,fair,fair,1815
6907f5826008de57a90f6b97bf0652e53769634559e170867e2d6caf48a264bc,AB,slate,good,good,1749
699e080e71f2cc67014d8af536403e2fa8031e8dd31f1b138e8fed0e1e0ca0fc,AB,granite,fair,good,1901
69c20321fc7a8a48d3b8d1d409830af38e46baafd72fdbd222ae5e53c516e157,AB,slate,good,good,1781
6a29777279fc5c4f40e073e9d27133b3dc94663889d323b56b3be519cdb1f955,AB,slate,good,good,1778
6a39222d6c87fbd3449c98d948ec72bb5698ceeefdfbbff9eb95a95bc874f1e6,AB,marble,fair,poor,1879
6a74635e5431f52e981c328f5095669f200eba25b6b4ee0fbcb806a9c84a6dfd,AB,marble,poor,poor,1860
6aa045386794bb31460fd483c706793fa0147677554bc3298acd4eb3aa9c0f20,AB,slate,good,good,1755
6b827057584e98a9ad0eabed5ee09cc767e2597e75290d9fdb9cf53b62f785bc,AB,slate,good,good,1760
6bbdbff18098d44560287ba7d2ba2c8f7876292344e13d986118d726eb350148,AB,,,,1764
6bdad865ec812c5f78e7e3f8bba0c698962f6efbc2415cbf70327f02589cbb1a,AB,granite,good,good,1947
6c2af015c5f22268024340fffad05cab7773fff0daa721508f4e25b5799e0a59,AB,marble,fair,poor,1821
6c666818034ac62bc2562a85d363f5cf96f5794dad176b546a264ec768d4acd8,AB,slate,good,good,1745
6e2bb4adf54c15a18cada1ab9f5dd89d1f8c13604901045dd34d86365ebb4630,AB,slate,good,good,1832
6f43e2fca16fa74551213c19b9e72662ae462838ee2f1253211f210e1bfee83f,AB,marble,fair,fair,1893
6f58b955dc4984c81d300142221c1e2aafc29ce0bdfbebd21280af1b704ee471,AB,slate,good,good,1776
6fb63e8d626b1ba40232836ce46e31d784f13f8462b87209aa2e881f9c59c353,AB,marble,fair,fair,1878
708b645ec1c675bab5e8cd7b5d510f6ffe9f73238201b13f54fe4c884d470043,AB,marble,fair,good,1806
71024c5bb1bbcb91850b7283938f011c620e1953030e0af59d7e98381226192d,AB,,,,1846
71102048adebb5259470b001604abdba36f599dd3aac548df095e5d01bf41960,AB,marble,fair,fair,1877
7168380b15cb5e2e8a978ef74b6e174263dbb2b00152a8e4f985183272339da9,AB,slate,good,good,1783
7172d589985e3e518df9819438c3abb20c5f70b0c59444106b8cca8791146068,AB,,,,1754
7181255ebb8faf00a72a8f5f176e1a65e73d451a737f17b275e4c4c2574ae9d5,AB,slate,good,good,1804
720409c7c941c67e9dbe5d06bd866ec3347aca285038cc64dae7578be2c8c340,AB,slate,good,good,1778
726fef5bdf90ba8c68d644ac2cad80e36a133fa429a3371185ac4583828902d6,AB,marble,fair,poor,1820
72c705cd890ab877118c595e0f5bb9819616369a0517ea290ed263bb31e373c2,AB,granite,fair,good,1904
72d7e9aba85ee4b92ef6e8fbaa5f2197a2c2248035404cfc70dd02de23e1ca5a,AB,granite,good,good,1926
735a956c322fb15b160e3ee71fd538aade5aca0a5e5dbe10edd97cc5d4d2f051,AB,granite,good,good,1883
73793d3d2579037895178da919e86ef88a7cac55c0987a5e672fac9c4f687763,AB,marble,fair,poor,1831
73a519acb0275a937f094f3f952bab3e462a8127446498f9a94755e64ab8a1c0,AB,,,,
73d729bb30c761571d2ad5ba87d70ac9258c7d33253bf1b3ae4268d81705479f,AB,slate,good,good,1750
73dce25dcd71dedfd6628575b09c4415f5ee61b00956aafd6f6302d1ff70a80b,AB,marble,good,good,1881
740de0f35c9811b0d4f84df01e45eb814cacf25a31883e1d5e40bd899d6424b7,AB,slate,good,good,1829
74144bb200cd15e078528bbf7c99e465d4dc454c19a69bcbba03ec1c69c9a2a1,AB,marble,poor,poor,1841
744fa6e2f9e335c2d2ea128d8efae69e396fb7b72613bad590e1bf3ac2ac1a51,AB,granite,good,good,1916
756eddb4afff6d70caee64374cd67073d8cf22ae1ec6f1e88c860bc6653c4a97,AB,slate,good,good,1736
757e101170ca15894cfcb0aa1659fb1d8113b2ad4165ff6e605893a13d6c7c6d,AB,slate,good,good,1819
759124c8df97d2d4ae2227f61dc8180fc4623a2ba4633d326b110b8a9584c141,AB,slate,fair,good,1830
75deb36647d213ef9c027f4a45786d86cf62ef205f30c9f8b5761167826a5691,AB,granite,good,good,1907
774bdb0b2cd5f2b0581a183c96a68e98fa4381950a1e2937ef51b028cd2150c6,AB,slate,poor,poor,1765
775b17256f55cd0c868fbb8c05c88602c5af2f05e89dbc5a3af2eb9924c6437f,AB,slate,good,good,1768
7806042e8b9d0de2f9e35c565e867e6ac18abacc3fa7777596580e81d55c6c38,AB,granite,good,good,1948
78d0dde9b99530a83343604812a5ea2415bb4ebdada11c8240795f92228842f1,AB,granite,good,good,1842
78d3fb887e393c2be40f29d7d6292d3a0770424487f11c4a4fc315a20785fc84,AB,slate,good,good,1756
7934baaf3bc34987639c4ba9d3c651571361e0c458b8f304ba90eb98c96c4f20,AB,,,,1840
793628341f1c8e54b5717cfc3ce55330707da1c27d8269a3d79c792b2cca8335,AB,granite,good,good,1893
794bc3963e0533f6b03ca2b975345d3cef268a49875885790e364e97d73df039,AB,granite,good,good,1769
79d9308409f078d5a60ca147dbd323dbb8681792f872aabfd9bb1bb8d0cf63e4,AB,slate,fair,fair,1729
79ef6df2fa26874dd7a24e270a1312218dff48c124dc227d7416ddade16dee97,AB,marble,good,poor,1791
7a46a261d6b13d73d5c0a95313b5953ad5dc9306e3ea03c889b6c107f6b2b6a9,AB,marble,fair,poor,1783
7a9da0d4cb6f96bdb1797b8de71e38c921203058a763612cf9b3f1d00054bf1c,AB,slate,good,good,1795
7b0334240d22bcf6bcbc3c94323bcadf3020cbbd8f9ee7f4d1b029acdeef8c3e,AB,slate,fair,good,1739
7b5c04882ecb543375d01427b4ca70a527961e000f4a5376ece2807f63c1aaef,AB,slate,good,good,1741
7ba1543a4dd626455a81c90a40cff9e90dfc93e1c51a2b5961cc5fc06de3b96b,AB,granite,good,good,1755
7ba73d5c087f378a4e1c0787637dd0c5ce8abd4232a98376cdaa081a2142475a,AB,slate,good,good,1848
7bfd3634d9927cfc6d34c0c7c48152a6ca4d2950fc6d04e54778d4409b1aa95b,AB,granite,good,good,1889
7c2811a8ea3f86574afa7a788640b63dabb1bd66020f8ed01b2ea50034e9d82d,AB,slate,good,good,1796
7c487f49943303952cf5f23382719bd131dde56bdea1296156d5c3222e2f6771,AB,granite,good,good,1917
7c7d2e2192ebc5997c11510568b7c2ccd580eb01bc2fdbb2f18b7e570f4b6fa2,AB,slate,good,good,1745
7d50d3baa6400a1b56536430caaae1abd9a630aaf5784c5855a3d0367a837414,AB,marble,good,fair,1838
7d7073c98f8a10828944237c5884298299a7e4e51cede4186598c6d99567da2a,AB,marble,fair,poor,1851
7d7bbfd3f636b15844a804df2023eaa3d041fa0939f1c173c30084512ae89d40,AB,marble,good,good,1847
7d829cd5a8d20fa4a1c43c949fee29fc5fe9f4d077066e7d15924cbad25239c1,AB,granite,good,good,1925
7da199d7bc399e47ab7af65fc001041996be10161197a831e5725f8bda0ad51b,AB,marble,poor,poor,1826
7dc384d8dcb6a7b68cbd3172d31ee30a1bd3e314d24b3dd7d822c4b0d4c828dd,AB,granite,good,good,1936
7de5facf006986926346dfd34d7c5e53876aaf87391398cceea826f5356927f3,AB,slate,good,good,1797
7df86a9266b3850c08f8c9ca5134086fc19547e3e6f118465703d75215a7f3eb,AB,granite,good,good,1907
7e38e24da33bc69dd8755f4cddab73aa87af4663b1c0bf3e14f825ebb3116222,AB,granite,good,good,1892
7e3f49911d45f68cf89767895481b646d2d401c07ac355fa058556146911e8aa,AB,slate,good,good,1771
7e5b525068021c895a66d56d1411cfbb100f4d4f6b31175e6d065c0618c7be95,AB,granite,good,good,1861
7e759ca5fd91dd2a997948a4f3338b2fff7993af4ba8c5d045d5cebdeab46e2c,AB,granite,good,good,1835
7f38748b4d7da642ab1aa38e3c05617f5c7a5e8c194dba6b0b8981a31cde405b,AB,marble,good,good,1872
7f6de1a9b5340ef4272ee4c6c46f5c0973d0f1307c742dfd8e73100fc5774785,AB,marble,good,good,1900
7fbfc7ef73d1d78d1640ee2ee8ce99f35e6cdfd356d543ab5fcd64f3510aab5f,AB,slate,good,good,1768
7fc18b94dda27e2688e78cda590f6202ee7bbf294f3187b196cfa418b16c4924,AB,slate,good,good,1750
80080d1ecbde28d871134d63fc4d50ba1a837d249818c976879d21924306265c,AB,marble,fair,poor,1826
8038b416ce1d32758f350435ae0aa544e7f227776da79b14bc848b2213aa9d73,AB,slate,good,good,1756
805212c326dd2b063f9e2dd5802c5104f4cb8dcc0b98e47083334aa51a2f0134,AB,marble,fair,poor,1828
8081a66147c5494167da36940d7fd72d13adede0661c33b2bc45d74a6f79fcb1,AB,slate,good,good,1800
8094b624bc27de8b0619e8ef40248e453f4af4e35d729d70900e36f87484e187,AB,marble,NA,NA,1841
80dd8e84b656457b85bcc86ada6c0d94ced678bcb59116485d54aa5d5f9dfd92,AB,granite,good,good,1955
81364de925303df4d05a26dbb61074f7a4dcc3371c7e1032d960a9462b6d7673,AB,,,,1835
81382d66fbb5daae298f1d70c03592a53d3f696fdb7607f8093f92031b8d1948,AB,marble,fair,poor,1806
813976c128d97ffecfc860ae63e71c08f9c811215e7d4993cfe700166abfb667,AB,slate,good,good,1775
814712dc2af8545f8b50914950b85844aa6e3c464f339ac2871da69768e6b2f0,AB,granite,good,good,1864
82a3c38ddd81cb42bf430eb5901f289624b9c6ff97b8ef2b8d98618827607d74,AB,slate,good,NA,1759
82a60316906ce1c301ce6100f6034591d2d5fde6974b5cc8d7c0dbe14073f7eb,AB,marble,poor,poor,1819
82bacfc7874ccef8f4d938fe62de42e251c27e53315366d4e7576a5c9d8b77d1,AB,granite,good,good,1924
