hash256,section,composition,condition,legibility,estimated_installation_year
0b35b94fe330773222e572e77b55b03ef40efe5fe0ae9a2c529f6f3d1476d1f2,AA,marble,fair,poor,1847
0b5b8fdece6942d19ddb1f2b8595be958fa7aca1b6be9f5ba5be9764dde466b5,AA,granite,good,good,1887
0ba2969a118305947f9ac75d5f983b4298d3070729e17595269b31c9dfbd5919,AA,marble,poor,poor,1822
0bb080f6ed7313d8d834c6620b330d150025b0fff9bc351c21115b266f5e13d2,AA,slate,fair,good,1797
0bed8d227be075add3fa76778bae886104a83294befd7c607fb4cf062a997f4b,AA,slate,good,good,1815
0c4c5599db3b6c554621408d73a366a8f0891bac6359364112f956bd66373124,AA,marble,fair,good,1865
0c7e71e60b93ca7261815e2ad269c8571dc6e454855279f0a9d7ee4f8f4bba5a,AA,marble,fair,poor,1808
0cec4fadd0b625de227a871621c7ffdd50904e6fcc37cd32f77cbcaafb56b522,AA,granite,good,good,1848
0d58c5c91d3e391b72261850602ae6ebe9fc925a51fa1cafc2964851efd2f71d,AA,slate,good,good,1843
0d8d24c065f8227d3c53609f9c1ff21dc4a09f146dc4fdb6429d6aec2fc547ad,AA,granite,good,good,1908
0dbf5d3b8845afa8502a6fa3cd177236760b2d2f479032443073c4435092ba03,AA,marble,poor,poor,1830
0dcafd5ec877979848cda6aa03586269af578eb7ccd6310d2af9bfa36e33b9de,AA,marble,fair,fair,1837
0dd7c416766f1a798423a2ec97702f67fc2d0568bfe09da1e285a13e0c36f1e1,AA,sandstone,poor,poor,1812
0df112f4b75fe452d598d489513fa0a5db46c09e33fefa55dce77e4e83a4cbdb,AA,marble,fair,poor,1827
0e2f6cd5d064be44326a56666aa8bee1029fb42c767bedd9cf6161d7f7331631,AA,slate,good,good,1811
0e58fae2cb80b5f5d7e9c6f8c28fa62d5ac2f7bbbd362d3bb68e827183ab8777,AA,marble,good,good,1918
0e78da52fccfa22a08c2e1326fdbdf7677bb25e9494af4a51664df574a7cdd24,AA,slate,good,good,1795
0ea285c880840818715b79538fe536ac9f14dffa3903e8c38f6645809d1d8424,AA,marble,good,fair,1852
0eae5732880840d4ef380e9a8d617136d712180f24e638222aa9851725b6bc19,AA,slate,good,good,1769
0ee9b235a01959e9a7fae2fdecf3f4de731fef54491c31b445a5c5c55f2db8c8,AA,marble,fair,fair,1852
0f06bfe61eb8e197c4431b821d607328e5329007616c24c06e7904fa7ee00060,AA,granite,good,good,1907
0f08f11b4258d4b3f24ff90b6f87e1604db4a14b07c3e034dd9efdcd8176257f,AA,marble,fair,good,1875
0f0eb3988b190482c6da68df421068c164c0559d81d12f737d5fecaf5b174164,AA,slate,good,good,1840
0f11c3d5779431cdaee21b06a5963af8bdff6fe1433e83a8bceebd4576f16dbc,AA,slate,good,good,1842
0f4b56c32df8a4f0895bcd9dee7f414bdd9e1a48aa5556465bcefcc57e758ab3,AA,slate,good,good,1826
0fbacea9f6cc4728c0081cf1d4fd27406bd818cb19aecfac0d3ae9f2aef06e1b,AA,,,,1855
0fdf5d237e40b367fb55d2873f9c60818313afa3c4af297435e4194b12ba31cd,AA,slate,fair,good,1806
100cd6654abdac910636de929b64d01e2982c832d597a0d30d8edad737f0c75d,AA,,,,1805
10b221900fd4b24cea12f97e966388e8ee379119853f2292b7dd2430d00d4d24,AA,marble,poor,poor,1813
10cbbad6d31a1121dfdcaf329d1796f58e7114f0f66a6ed29fa6436f2cf02510,AA,marble,good,poor,1830
113c2f7717490ae258fd65a17f90b5e1e4e57b547c243b006d2153009d2fd935,AA,marble,good,good,1842
115a78ae902e967277713ee14acd5690df8f85e674430dca9841cb21a85fbec4,AA,slate,poor,good,1808
11644b13d6cd2e2e3ea4f321161ac6844dd85129318c379fa6ae1b36788cfed7,AA,,,,
118254632d42ded333f360d334dc9df183f0ff027fc83908325ceded1617a617,AA,marble,fair,fair,1872
11ba550d1de025b183589b67f817c0dbf4a2bbf49d92c25af23e32ce51502c21,AA,slate,good,good,1820
